

Version 0.5: LP bound only.  Build Jun 21 2002  16:25:21
Sun Jun 23 19:27:27 2002

#  status   IP_best   LPBnd0 LPB_best  time_IP  time_LPNRuns NIter  [remark]

  1 LPBnd        5        5        5      0.1      0.0     1 0 'BPP_U09993_10007'
  2 LPBnd       15       15       15      0.5      0.5     1 0 'BPP_U09978_10022'
  3 LPBnd       25       25       25     0.25     0.14     1 0 'BPP_U09963_10037'
  4 LPBnd       36       35       35     1.16     0.33     1 0 'BPP_U09948_10052'
  5 LPBnd       46       45       45      2.2     0.54     1 0 'BPP_U09933_10067'
  6 LPBnd       56       55       55     3.18     0.96     1 0 'BPP_U09918_10082'
  7 LPBnd       66       65       65     4.36     1.61     1 0 'BPP_U09903_10097'
  8 LPBnd       76       75       75     7.17     2.70     1 0 'BPP_U09888_10112'
  9 LPBnd       86       85       85    10.76     3.83     1 0 'BPP_U09873_10127'
 10 LPBnd       96       95       95    12.59     5.76     1 0 'BPP_U09858_10142'
 11 LPBnd      106      105      105     19.1     8.13     1 0 'BPP_U09843_10157'
 12 LPBnd      116      115      115    20.33    11.84     1 0 'BPP_U09828_10172'
 13 LPBnd      126      125      125    29.76     15.8     1 0 'BPP_U09813_10187'
 14 LPBnd      136      135      135    37.99     18.1     1 0 'BPP_U09798_10202'
 15 LPBnd      146      145      145    46.67    27.21     1 0 'BPP_U09783_10217'
 16 LPBnd      156      155      155   1m0.59    33.89     1 0 'BPP_U09768_10232'
 17 LPBnd      166      165      165   1m9.98    46.52     1 0 'BPP_U09753_10247'
 18 LPBnd      176      175      175  1m24.79    50.47     1 0 'BPP_U09738_10262'
 19 LPBnd      186      185      185  1m42.59   1m3.42     1 0 'BPP_U09723_10277'
 20 LPBnd      196      195      195   2m1.76  1m17.56     1 0 'BPP_U09708_10292'
 21 LPBnd      206      205      205  2m38.74  1m42.40     1 0 'BPP_U09693_10307'
 22 LPBnd      216      215      215  2m57.93  1m50.65     1 0 'BPP_U09678_10322'
 23 LPBnd      226      225      225  3m10.21  2m14.77     1 0 'BPP_U09663_10337'
 24 LPBnd      236      235      235  3m59.43  2m45.50     1 0 'BPP_U09648_10352'
 25 LPBnd      246      245      245  4m29.75   3m4.56     1 0 'BPP_U09633_10367'
 26 LPBnd      256      255      255   5m9.27  3m44.50     1 0 'BPP_U09618_10382'
 27 LPBnd      266      265      265  5m31.49  3m50.31     1 0 'BPP_U09603_10397'
 28 LPBnd      276      275      275  6m23.75  4m30.61     1 0 'BPP_U09588_10412'
 29 LPBnd      286      285      285  6m55.87   5m6.37     1 0 'BPP_U09573_10427'
 30 LPBnd      296      295      295  7m42.81  5m50.92     1 0 'BPP_U09558_10442'
 31 LPBnd      306      305      305  9m43.99   7m4.81     1 0 'BPP_U09543_10457'
 32 LPBnd      316      315      315  9m45.11  7m24.83     1 0 'BPP_U09528_10472'
 33 LPBnd      326      325      325 10m59.79  8m19.22     1 0 'BPP_U09513_10487'
 34 LPBnd      336      335      335 12m54.86  9m43.77     1 0 'BPP_U09498_10502'


Version 0.5: LP bound only.  Build Jun 21 2002  16:25:21
Mon Jun 24 11:57:24 2002

#  status   IP_best   LPBnd0 LPB_best  time_IP  time_LPNRuns NIter  [remark]

 34 LPBnd      336      335      335 12m53.46  9m44.61     1 0 'BPP_U09498_10502'


Version 0.5: LP bound only.  Build Jun 21 2002  16:25:21
Mon Jun 24 13:38:02 2002

#  status   IP_best   LPBnd0 LPB_best  time_IP  time_LPNRuns NIter  [remark]

  1 LPBnd        5        5        5      0.1      0.0     1 0 'BPP_U09993_10007'
  2 LPBnd       15       15       15      0.5      0.5     1 0 'BPP_U09978_10022'
  3 LPBnd       25       25       25     0.25     0.14     1 0 'BPP_U09963_10037'
  4 LPBnd       36       35       35     1.14     0.32     1 0 'BPP_U09948_10052'
  5 LPBnd       46       45       45      2.2     0.55     1 0 'BPP_U09933_10067'
  6 LPBnd       56       55       55     3.18     0.97     1 0 'BPP_U09918_10082'
  7 LPBnd       66       65       65     4.37     1.62     1 0 'BPP_U09903_10097'
  8 LPBnd       76       75       75     7.20     2.70     1 0 'BPP_U09888_10112'
  9 LPBnd       86       85       85    10.75     3.79     1 0 'BPP_U09873_10127'
 10 LPBnd       96       95       95    12.59     5.75     1 0 'BPP_U09858_10142'
 11 LPBnd      106      105      105     19.1     8.15     1 0 'BPP_U09843_10157'
 12 LPBnd      116      115      115    20.32    11.80     1 0 'BPP_U09828_10172'
 13 LPBnd      126      125      125    29.82    15.10     1 0 'BPP_U09813_10187'
 14 LPBnd      136      135      135    38.14     18.8     1 0 'BPP_U09798_10202'
 15 LPBnd      146      145      145    46.65    27.23     1 0 'BPP_U09783_10217'
 16 LPBnd      156      155      155   1m0.60    33.89     1 0 'BPP_U09768_10232'
 17 LPBnd      166      165      165  1m10.12    46.64     1 0 'BPP_U09753_10247'
 18 LPBnd      176      175      175  1m24.87    50.50     1 0 'BPP_U09738_10262'
 19 LPBnd      186      185      185  1m42.96   1m3.77     1 0 'BPP_U09723_10277'
 20 LPBnd      196      195      195   2m1.59  1m17.56     1 0 'BPP_U09708_10292'
 21 LPBnd      206      205      205  2m38.80  1m42.37     1 0 'BPP_U09693_10307'
 22 LPBnd      216      215      215  2m58.16  1m50.93     1 0 'BPP_U09678_10322'
 23 LPBnd      226      225      225  3m10.50  2m14.96     1 0 'BPP_U09663_10337'
 24 LPBnd      236      235      235  3m59.90  2m45.78     1 0 'BPP_U09648_10352'
 25 LPBnd      246      245      245  4m29.99   3m4.72     1 0 'BPP_U09633_10367'
 26 LPBnd      256      255      255   5m9.66  3m44.62     1 0 'BPP_U09618_10382'
 27 LPBnd      266      265      265  5m32.31  3m50.87     1 0 'BPP_U09603_10397'
 28 LPBnd      276      275      275  6m25.12  4m31.27     1 0 'BPP_U09588_10412'
 29 LPBnd      286      285      285  6m58.27    5m8.5     1 0 'BPP_U09573_10427'
 30 LPBnd      296      295      295  7m44.44  5m51.77     1 0 'BPP_U09558_10442'


Version 0.5: LP bound only.  Build Jun 25 2002  11:18:01
Tue Jun 25 12:13:30 2002

#  status   IP_best   LPBnd0 LPB_best  time_IP  time_LPNRuns NIter  [remark]

  1 LPBnd        5        5        5      0.2      0.1     1 0 'BPP_U09993_10007'
  2 LPBnd       15       15       15      0.5      0.5     1 0 'BPP_U09978_10022'
  3 LPBnd       25       25       25     0.23     0.14     1 0 'BPP_U09963_10037'
  4 LPBnd       36       35       35     9.38     0.32     1 0 'BPP_U09948_10052'
  5 LPBnd       46       45       45 14m21.32     0.54     1 0 'BPP_U09933_10067'
  6 LPBnd       56       55       55  1h39m14     0.97     1 0 'BPP_U09918_10082'
